state	date	fips	new.cases	abbr
ALABAMA	2020-07-18	1	2143	AL
NEVADA	2020-07-18	32	1234	NV
GEORGIA	2020-07-18	13	4074	GA
ARIZONA	2020-07-18	4	2758	AZ
TENNESSEE	2020-07-18	47	2446	TN
MISSISSIPPI	2020-07-18	28	1017	MS
IDAHO	2020-07-18	16	554	ID
TEXAS	2020-07-18	48	8805	TX
SOUTH CAROLINA	2020-07-18	45	1552	SC
UTAH	2020-07-18	49	858	UT
ARKANSAS	2020-07-18	5	771	AR
NORTH CAROLINA	2020-07-18	37	2437	NC
OKLAHOMA	2020-07-18	40	916	OK
CALIFORNIA	2020-07-18	6	8272	CA
NORTH DAKOTA	2020-07-18	38	115	ND
WISCONSIN	2020-07-18	55	875	WI
MARYLAND	2020-07-18	24	832	MD
MISSOURI	2020-07-18	29	827	MO
NEW MEXICO	2020-07-18	35	280	NM
OHIO	2020-07-18	39	1542	OH
KENTUCKY	2020-07-18	21	588	KY
INDIANA	2020-07-18	18	885	IN
IOWA	2020-07-18	19	411	IA
DISTRICT OF COLUMBIA	2020-07-18	11	79	DC
VIRGINIA	2020-07-18	51	940	VA
ALASKA	2020-07-18	2	74	AK
ILLINOIS	2020-07-18	17	1257	IL
NEBRASKA	2020-07-18	31	184	NE
DELAWARE	2020-07-18	10	92	DE
OREGON	2020-07-18	41	389	OR
WASHINGTON	2020-07-18	53	663	WA
SOUTH DAKOTA	2020-07-18	46	73	SD
MONTANA	2020-07-18	30	88	MT
MINNESOTA	2020-07-18	27	457	MN
WEST VIRGINIA	2020-07-18	54	139	WV
COLORADO	2020-07-18	8	402	CO
WYOMING	2020-07-18	56	39	WY
MICHIGAN	2020-07-18	26	632	MI
MASSACHUSETTS	2020-07-18	25	359	MA
PENNSYLVANIA	2020-07-18	42	608	PA
NEW YORK	2020-07-18	36	752	NY
NEW JERSEY	2020-07-18	34	263	NJ
NEW HAMPSHIRE	2020-07-18	33	23	NH
HAWAII	2020-07-18	15	20	HI
KANSAS	2020-07-18	20	39	KS
MAINE	2020-07-18	23	10	ME
VERMONT	2020-07-18	50	4	VT
CONNECTICUT	2020-07-18	9	0	CN
LOUISIANA	2020-07-18	22	0	LA
RHODE ISLAND	2020-07-18	44	0	RI
FLORIDA	2020-07-17	12	11466	FL
ARIZONA	2020-07-17	4	3845	AZ
